code,label
cnn sequential cnn conv2d 64 activation relu kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform input_shape 150 150 3  cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 64 activation relu kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 128 activation relu kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 128 activation relu kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn flatten cnn dropout 0 2 cnn dense 512 activation relu cnn dense 3 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics  accuracy  history cnn fit train_generator validation_data test_generator epochs 10 steps_per_epoch 20 validation_steps 3 callbacks  callback  ,SE
cnn sequential cnn conv2d 64 activation relu kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform input_shape 150 150 3  cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 64 activation relu kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 128 activation relu kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn conv2d 128 activation relu kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform cnn maxpool2d pool_size 2 2 strides 2 2 padding same cnn flatten cnn dropout 0 2 cnn dense 512 activation relu cnn dense 3 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics  accuracy  history cnn fit train_generator validation_data test_generator epochs 10 steps_per_epoch 20 validation_steps 3 callbacks  callback  ,SE
sequential tf keras layers experimental preprocessing rescaling 1  255 conv2d 32 kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform input_shape 224 224 3  activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same conv2d 64 kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same conv2d 128 kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same flatten dense 256 activation  relu dropout 0 2 dense 9 activation  softmax compile optimizer adam loss categorical_crossentropy metrics  accuracy  hst fit x_train validation_data x_val epochs epochs ,SE
model1 sequential model1 conv2d 32 kernel_size 4 4 strides 1 1 padding same kernel_initializer glorot_uniform input_shape 32 32 3 activation relu model1 maxpool2d pool_size 2 2 padding same model1 conv2d 32 kernel_size 4 4 strides 4 4 padding same kernel_initializer glorot_uniform input_shape 32 32 3 activation relu model1 maxpool2d pool_size 2 2 padding same model1 flatten model1 dense 256 activation relu model1 dense 10 activation softmax model1 compile loss categorical_crossentropy optimizer adam metrics accuracy history1 model1 fit x_train y_train_cat epochs 20 validation_data x_test y_test_cat ,SE
sequential conv2d 32 kernel_size 4 4 strides 4 4 padding same input_shape 28 28 1 activation relu kernel_initializer glorot_uniform maxpooling2d pool_size 2 2 padding same flatten dense 128 activation relu dense 10 activation softmax compile loss categorical_crossentropy optimizer rmsprop metrics accuracy fit x_train1 y_train1 validation_data x_val y_val epochs 1 ,SE
cnn tf keras models sequential cnn tf keras layers conv2d 32 kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform activation relu input_shape  150 150 3  cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers flatten cnn tf keras layers dense 128 activation relu cnn tf keras layers dense 8 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics  accuracy cnn fit x train_gen validation_data val_gen epochs 15 ,SE
cnn tf keras models sequential cnn tf keras layers conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu input_shape  150 150 3  cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers conv2d 32 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform activation relu cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers flatten cnn tf keras layers dense 128 activation relu cnn tf keras layers dense 8 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics  accuracy cnn fit x train_gen validation_data val_gen epochs 15 ,SE
cnn tf keras models sequential cnn tf keras layers conv2d 32 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform activation relu input_shape  150 150 3  cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers flatten cnn tf keras layers dense 128 activation relu cnn tf keras layers dense 8 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics  accuracy cnn fit x train_gen validation_data val_gen epochs 15 ,SE
cnn tf keras models sequential cnn tf keras layers conv2d 32 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform activation relu input_shape  150 150 3  cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers conv2d 32 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform activation relu cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers flatten cnn tf keras layers dense 128 activation relu cnn tf keras layers dense 8 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics  accuracy cnn fit x train_gen validation_data val_gen epochs 15 ,SE
sequential conv2d 64 kernel_size 3 3 strides 1 1 padding same activation relu kernel_initializer glorot_uniform input_shape 28 28 1 maxpooling2d pool_size 2 2 padding same conv2d 64 kernel_size 3 3 strides 4 4 padding same activation relu kernel_initializer glorot_uniform maxpooling2d pool_size 2 2 padding same conv2d 64 kernel_size 3 3 strides 1 1 padding same activation relu kernel_initializer glorot_uniform maxpooling2d pool_size 2 2 padding same flatten dense 6 activation relu dropout 0 20 dense num_classes activation softmax compile loss keras losses categorical_crossentropy optimizer keras optimizers adam metrics accuracy history fit x_train y_train validation_data x_test y_test epochs epochs batch_size batch_size ,SE
sequential conv2d 64 kernel_size 3 3 strides 4 4 padding same activation relu kernel_initializer glorot_uniform input_shape 28 28 1 maxpooling2d pool_size 2 2 padding same conv2d 64 kernel_size 3 3 strides 4 4 padding same activation relu kernel_initializer glorot_uniform maxpooling2d pool_size 2 2 padding same conv2d 64 kernel_size 3 3 strides 4 4 padding same activation relu kernel_initializer glorot_uniform maxpooling2d pool_size 2 2 padding same flatten dense 6 activation relu dropout 0 20 dense num_classes activation softmax compile loss keras losses categorical_crossentropy optimizer keras optimizers adam metrics accuracy history fit x_train y_train validation_data x_test y_test epochs epochs batch_size batch_size ,SE
sequential conv2d 64 kernel_size 5 5 strides 1 1 padding same kernel_initializer glorot_uniform activation elu input_shape 28 28 1  batchnormalization dropout 0 3 conv2d 64 kernel_size 5 5 strides 1 1 padding same kernel_initializer glorot_uniform activation elu input_shape 28 28 1  batchnormalization dropout 0 3 avgpool2d pool_size 2 2 padding same conv2d 64 kernel_size 5 5 strides 2 2 padding same kernel_initializer glorot_uniform activation elu batchnormalization dropout 0 3 conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation elu batchnormalization dropout 0 3 avgpool2d pool_size 2 2 padding same batchnormalization dropout 0 3 flatten dense 300 activation  elu batchnormalization dropout 0 3 dense 200 activation  elu batchnormalization dropout 0 3 dense 100 activation  elu batchnormalization dropout 0 3 dense 10 activation  softmax compile loss sparse_categorical_crossentropy optimizer rmsprop metrics acc early_stopping earlystopping min_delta 0 0002 mode min patience 20 restore_best_weights true print  num gpus available  len tf config list_physical_devices  gpu  history fit x_tr y_tr validation_data x_val y_val verbose 1 epochs 50 batch_size 16 callbacks  early_stopping  ,SE
sequential conv2d 32 kernel_size 5 5 strides 2 2 padding same kernel_initializer glorot_uniform activation relu input_shape 32 32 3  maxpooling2d pool_size 2 2 padding same conv2d 64 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 2 2 padding same conv2d 64 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 2 2 padding same flatten dense 100 activation relu dropout 0 25 dense 2 activation softmax compile loss categorical_crossentropy optimizer adam metrics accuracy history fit x_train y_train epochs 20 scores evaluate x_test y_test verbose 0 print  test accuracy  s   2f   metrics_names  1  scores  1  100 ,SE
cnn tf keras models sequential cnn tf keras layers conv2d 32 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform activation relu input_shape  150 150 3  cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers conv2d 32 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform activation relu cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers flatten cnn tf keras layers dense 128 activation relu cnn tf keras layers dense 8 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics  accuracy cnn fit x train_gen validation_data val_gen epochs 15 ,SE
sequential tf keras layers experimental preprocessing rescaling 1  255 conv2d 32 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform input_shape 224 224 3  activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same conv2d 64 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same conv2d 128 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same flatten dense 256 activation  relu dropout 0 2 dense 9 activation  softmax compile optimizer adam loss categorical_crossentropy metrics  accuracy  hst fit x_train validation_data x_val epochs epochs ,SE
sequential tf keras layers experimental preprocessing rescaling 1  255 conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform input_shape 224 224 3  activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same conv2d 64 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same conv2d 128 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation  relu maxpooling2d pool_size 2 2 strides 2 2 padding same flatten dense 256 activation  relu dropout 0 2 dense 9 activation  softmax compile optimizer adam loss categorical_crossentropy metrics  accuracy  hst fit x_train validation_data x_val epochs epochs ,SE
cnn tf keras models sequential cnn tf keras layers conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu input_shape  150 150 3  cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers conv2d 32 kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform activation relu cnn tf keras layers maxpool2d pool_size 2 2 strides 2 2 padding same cnn tf keras layers flatten cnn tf keras layers dense 128 activation relu cnn tf keras layers dense 8 activation softmax cnn compile optimizer adam loss categorical_crossentropy metrics  accuracy cnn fit x train_gen validation_data val_gen epochs 15 ,SE
sequential conv2d 32 kernel_size 5 5 strides 3 3 padding same kernel_initializer glorot_uniform activation relu input_shape 32 32 3  maxpooling2d pool_size 2 2 padding same conv2d 64 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 2 2 padding same conv2d 64 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 2 2 padding same flatten dense 100 activation relu dropout 0 25 dense 2 activation softmax compile loss categorical_crossentropy optimizer adam metrics accuracy history fit x_train y_train epochs 20 scores evaluate x_test y_test verbose 0 print  test accuracy  s   2f   metrics_names  1  scores  1  100 ,SE
sequential conv2d 64 kernel_size 5 5 strides 1 1 padding same kernel_initializer glorot_uniform activation elu input_shape 28 28 1  batchnormalization dropout 0 3 conv2d 64 kernel_size 5 5 strides 1 1 padding same kernel_initializer glorot_uniform activation elu input_shape 28 28 1  batchnormalization dropout 0 3 avgpool2d pool_size 2 2 padding same conv2d 64 kernel_size 5 5 strides 1 1 padding same kernel_initializer glorot_uniform activation elu batchnormalization dropout 0 3 conv2d 32 kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform activation elu batchnormalization dropout 0 3 avgpool2d pool_size 2 2 padding same batchnormalization dropout 0 3 flatten dense 300 activation  elu batchnormalization dropout 0 3 dense 200 activation  elu batchnormalization dropout 0 3 dense 100 activation  elu batchnormalization dropout 0 3 dense 10 activation  softmax compile loss sparse_categorical_crossentropy optimizer rmsprop metrics acc early_stopping earlystopping min_delta 0 0002 mode min patience 20 restore_best_weights true print  num gpus available  len tf config list_physical_devices  gpu  history fit x_tr y_tr validation_data x_val y_val verbose 1 epochs 50 batch_size 16 callbacks  early_stopping  ,SE
sequential conv2d 64 kernel_size 3 3 strides 1 1 padding same activation relu kernel_initializer glorot_uniform input_shape 28 28 1 maxpooling2d pool_size 2 2 padding same conv2d 64 kernel_size 3 3 strides 3 3 padding same activation relu kernel_initializer glorot_uniform maxpooling2d pool_size 2 2 padding same conv2d 64 kernel_size 3 3 strides 1 1 padding same activation relu kernel_initializer glorot_uniform maxpooling2d pool_size 2 2 padding same flatten dense 6 activation relu dropout 0 20 dense num_classes activation softmax compile loss keras losses categorical_crossentropy optimizer keras optimizers adam metrics accuracy history fit x_train y_train validation_data x_test y_test epochs epochs batch_size batch_size ,SE
sequential conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu input_shape 128 128 3  maxpooling2d pool_size 2 2 padding same dropout 0 25 conv2d 64 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 2 2 strides 2 2 padding same dropout 0 25 conv2d 128 kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 2 2 strides 2 2 padding same dropout 0 25 flatten dense 256 activation  relu dense 3 activation  softmax compile loss categorical_crossentropy optimizer adam metrics  accuracy  history fit train_im validation_data val_im epochs 25 steps_per_epoch 100 callbacks  callbacks  ,SE
sequential conv2d 256 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform input_shape 28 28 3 activation relu maxpooling2d pool_size 2 2 padding same batchnormalization conv2d 128 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 2 2 padding same dropout 0 2 conv2d 64 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu conv2d 32 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform activation relu flatten dense 24 activation relu dropout 0 2 dense 12 activation relu dropout 0 2 dense len label activation softmax compile optimizer adam loss keras losses sparsecategoricalcrossentropy metrics accuracy history fit x_tr y_smote epochs 50 batch_size 32 validation_split 0 2 shuffle true ,SE
sequential conv2d 64 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform input_shape 200 200 3 activation relu conv2d 64 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 3 3 padding same dropout 0 30 conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu conv2d 32 kernel_size 3 3 strides 3 3 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 3 3 padding same dropout 0 25 flatten dense 32 activation relu dense 32 activation relu dense units 1 activation sigmoid compile optimizer adam loss binary_crossentropy metrics accuracy history fit train epochs 30 validation_data test callbacks  es  ,SE
sequential conv2d 16 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform input_shape 28 28 1  leakyrelu maxpooling2d pool_size 2 2 padding same conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform leakyrelu maxpooling2d pool_size 2 2 padding same dropout 0 5 flatten dense 512 dropout 0 5 leakyrelu dense 256 leakyrelu dropout 0 5 dense 3 activation softmax compile optimizer adam loss categorical_crossentropy metrics accuracy history fit train_images validation_data val_images epochs 100 callbacks  tf keras callbacks modelcheckpoint  h5 save_best_only true save_weights_only true  ,SE
sequential conv2d 16 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform input_shape 28 28 1  leakyrelu maxpooling2d pool_size 2 2 padding same conv2d 32 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform leakyrelu maxpooling2d pool_size 2 2 padding same dropout 0 5 flatten dense 512 dropout 0 5 leakyrelu dense 256 leakyrelu dropout 0 5 dense 3 activation softmax compile optimizer adam loss categorical_crossentropy metrics accuracy history fit train_images validation_data val_images epochs 100 callbacks  tf keras callbacks modelcheckpoint  h5 save_best_only true save_weights_only true  ,SE
sequential conv2d 64 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform input_shape 200 200 3 activation relu conv2d 64 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 3 3 padding same dropout 0 30 conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu conv2d 32 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 3 3 padding same dropout 0 25 flatten dense 32 activation relu dense 32 activation relu dense units 1 activation sigmoid compile optimizer adam loss binary_crossentropy metrics accuracy history fit train epochs 30 validation_data test callbacks  es  ,SE
sequential conv2d 256 kernel_size 3 3 strides 4 4 padding same kernel_initializer glorot_uniform input_shape 28 28 3 activation relu maxpooling2d pool_size 2 2 padding same batchnormalization conv2d 128 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 2 2 padding same dropout 0 2 conv2d 64 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu flatten dense 24 activation relu dropout 0 2 dense 12 activation relu dropout 0 2 dense len label activation softmax compile optimizer adam loss keras losses sparsecategoricalcrossentropy metrics accuracy history fit x_tr y_smote epochs 50 batch_size 32 validation_split 0 2 shuffle true ,SE
sequential conv2d 32 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu input_shape 128 128 3  maxpooling2d pool_size 2 2 padding same dropout 0 25 conv2d 64 kernel_size 3 3 strides 1 1 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 2 2 strides 2 2 padding same dropout 0 25 conv2d 128 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 2 2 strides 2 2 padding same dropout 0 25 flatten dense 256 activation  relu dense 3 activation  softmax compile loss categorical_crossentropy optimizer adam metrics  accuracy  history fit train_im validation_data val_im epochs 25 steps_per_epoch 100 callbacks  callbacks  ,SE
sequential conv2d 256 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform input_shape 28 28 3 activation relu maxpooling2d pool_size 2 2 padding same batchnormalization conv2d 128 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform activation relu maxpooling2d pool_size 2 2 padding same dropout 0 2 conv2d 64 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform activation relu conv2d 32 kernel_size 3 3 strides 2 2 padding same kernel_initializer glorot_uniform activation relu flatten dense 24 activation relu dropout 0 2 dense 12 activation relu dropout 0 2 dense len label activation softmax compile optimizer adam loss keras losses sparsecategoricalcrossentropy metrics accuracy history fit x_tr y_smote epochs 50 batch_size 32 validation_split 0 2 shuffle true ,SE
